,APA,BKR,BP,COP,CTRA,CVX,DK,DVN,ENB,EOG,ET,FANG,FTI,HAL,HES,KMI,MPC,NOV,OKE,PBF,PSX,SHEL,SLB,TTE,VLO,WMB,XOM
2024-04-05,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-04-12,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-04-19,-874.999999999996,0.0,0.0,-120.25139596264032,0.0,0.0,0.0,-875.0000000000006,1500.0,-592.6488080635577,1500.0,0.0,0.0,-875.0000000000002,-162.0997959738036,5.692346069560648e-12,557.6830930479314,0.0,1197.2685139745183,0.0,1117.255209457652,0.0,0.0,0.0,627.7931835199087,0.0,0.0
2024-04-26,-735.5322294224243,0.0,2.300994849152868e-12,-226.04165184083544,0.0,1.2096639813906965e-11,5.790663670639267e-12,-874.9999999999999,1500.0,-613.5678778331392,1499.9999999999986,-1.6738146759455827e-12,0.0,-874.9999999999999,-174.85824090358915,469.37493615641057,460.99029507404776,0.0,1003.1926585650305,91.65843989094745,929.1572026751896,0.0,-9.831819061433462e-12,0.0,545.6264676383646,0.0,-1.788909975653151e-12
2024-05-03,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-05-10,-874.9999999999995,0.0,2.7160978242619982e-12,-5.239433120962769e-12,0.0,0.0,0.0,-874.9999999999985,1499.9999999999982,-874.9999999999975,1499.999999999998,0.0,0.0,-874.9999999999934,-1.4859203718326313e-12,3.356484808796777e-12,4.02638042074091e-12,-3.2138111040849404e-12,1499.9999999999977,0.0,1145.9976540154094,2.8893191149598836e-12,-1.0444533643020331e-12,1.2885874154095416e-12,267.69980290399235,586.3025430805885,0.0
2024-05-17,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-05-24,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-05-31,-242.44038637749003,4.050598540540318e-12,5.68234657169662e-12,-790.1619290926525,0.0,0.0,1.2698988045020547e-12,-874.9999999999947,1499.999999999993,-874.999999999994,1499.9999999999943,0.0,-1.3188867279145e-12,-717.3976845298496,-2.2068672414992667e-12,1075.5992226748015,0.0,-7.903596679240376e-12,6.6210097931242374e-12,1.9003135060894036e-12,935.6135779965651,1.120862480019386e-11,-1.3954857212856094e-12,8.150226433843013e-12,0.0,1488.7871993286303,-6.904213121985166e-12
2024-06-07,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-06-14,0.0,2.0144265717353067e-12,2.2894288011968936e-12,-874.9999999999961,0.0,0.0,0.0,-874.9999999999997,1499.999999999999,-874.9999999999967,1499.9999999999986,-6.486982020075948e-12,0.0,-874.9999999999965,-1.3555209569892971e-12,1499.999999999999,193.95764472958575,0.0,2.074725201938996e-12,0.0,980.1404119279584,1.9345668336942746e-12,0.0,2.7425215083426274e-12,62.201354048993686,763.7005892934559,0.0
2024-06-21,0.0,0.0,0.0,-875.000000000004,0.0,0.0,0.0,-875.000000000001,1500.0,-874.9999999999995,1499.9999999999998,0.0,0.0,1.416301312337147e-12,-875.0000000000015,1500.0,204.7488575369949,0.0,0.0,0.0,1026.6588155699249,0.0,0.0,147.78509213774376,71.22144922710713,549.5857855282306,-2.237450999190159e-12
2024-06-28,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-07-05,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-07-12,-770.0783471494301,1.8624029633280118e-11,0.0,-762.0749754660808,0.0,0.0,94.7837926811867,-832.9489494003025,1499.999999999999,-515.9853670188832,1499.9999999999968,-1.5499716902803969e-12,2.086839558708238e-11,-102.19892595805912,-516.7134350072464,1163.975114089284,310.6530455975765,0.0,223.08147173193495,123.6135323830079,703.4148601525167,0.0,0.0,653.2199718088036,227.25821155566908,0.0,0.0
2024-07-19,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-07-26,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
